,,,,,,Date,,,,,,,,,Terms,,,,,,,,,,,,,,Results,,,,,,,,,,Pricing,,,,,,Market Pricing,,,,,,,Trading Statistics,,,,,,,,,,cust_trr_start_dt,cust_trr_end_dt,cust_trr_return_holding_per,,,,Predicted Participation at Tender Price,,,,,,,,,Predicted Premium of Tender Price,,,,,,,,,
,Notes,Ticker,Concatenation ,Target Name,Market Cap,Announced,Expiration,Pre-Deal Date,5-Days Prior to Expiration Date,Post Expiration Date,,,Duration,,Min Price,Max Price,Min Shares,Max Shares ,Min Value,Max Value,Size by Shrs,Upsided Option (shrs),Max Upside with 2%,Shares Eligible for Tender,Total Shares O/S,Relative Size,Adjusted Relative Size,,Shares Tendered at Acceptance Price,Total Shares Tendered (not usually given,Price Paid,Premium Paid,Shares Purchased,Value Repurchased,Proration At Acceptance Price % (total shares),Proration At Acceptance Price % (announced shares),Participation at Acceptance Price % ,,Pre-Deal,Deal on Announcement,5-Days Prior to Expiration Date,On Expiration Date,After Expiration,,SPX on Deal Announcement,SPX on Expiration Date,VIX on Expiration Date,Implied Vol - Vix,52 Week Low,52 Week High,,Tender Premium % (Low tender price),Tender Premium % (high tender price),Pro-Rate (low tender price),Pro-Rate (high tender price),Total Excess Volume vs. Historical Average,Implied Pre-Deal Vol (60-day),Stock Appreciation Over Tender Period,Stock Change On Announce Day,Stock Change Post Tender Expiration,Change in SPX over Tender Period,Stock vs. SPX over Tender Period,Total Excess Volume / Average Shares to be Repurchased,Stock Pre Tender 90 Day Performance,Implied Pre 90 Day Price,Tender Premium to 3 Month Pre-Tender Price,,Participation at Tender Price,Adjusted Relative Size,Tender Premium % (high tender price),Excess Volume / Average Shares to be Repurchased,Stock Appreciation Over Tender Period,Stock Change Post Tender Expiration,,Tender Premium to 3 Month Pre-Tender Price,,Premium Paid,Tender Premium % (high tender price),Stock Appreciation Over Tender Period,Stock Change On Announce Day,Total Excess Volume / Average Shares to be Repurchased,,Stock Change On Announce Day,,,
167,"Announce  NSN JD3EQ73T6SQQ,  NSN KTDP256J1P6W <GO>, <GO>, Final NSN JESHCY3T6SQQ <GO>",DPZ US,DPZ US Equity,Domino's Pizza Inc,#N/A,2/7/2007,3/9/2007,2/6/07,3/2/07,3/12/07,20061107,20070206,32,,$27.50,$30.00,13.9,13.9,$380.9,$415.5,X,,,#N/A,#N/A,#N/A,#N/A,,0.0,0.0,$30.00,#N/A,0.0,$0.1,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,6.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44.6%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,44.60%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,44.60%,,#N/A,,,
168,"Announce  NSN JEG8L51A74E9 <GO>, Prelim NSN JFZ5YD3V2801 <GO>,Final  NSN JG3CU13V2801 <GO>",CE US,CE US Equity,Celanese Corp,#N/A,3/5/2007,4/3/2007,3/2/07,3/27/07,4/4/07,20061201,20070302,28,,$28.00,$30.50,11.3,12.3,$344.0,$344.0,,,,#N/A,#N/A,#N/A,#N/A,,2.0,2.0,$30.50,#N/A,2.0,$61.7,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,-5.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-46.6%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,-46.60%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,-46.60%,,#N/A,,,
170,"Announce  NSN JESJ7B3T6SQP <GO>, Final NSN JGSRF63T6SQQ <GO>",SONE US,SONE US Equity,S1 Corp,#N/A,3/12/2007,4/19/2007,3/9/07,4/12/07,4/20/07,20061208,20070309,37,,$5.25,$5.75,9.6,10.5,$55.0,$55.0,,,,#N/A,#N/A,#N/A,#N/A,,0.0,0.0,$5.75,#N/A,0.0,$0.1,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,4.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,45.2%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,45.24%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,45.24%,,#N/A,,,
174,"Announce NSN JH0SWE3T6SQP <GO>,Commence  NSN JHRW083TCF0I <GO>, Ammend   NSN JIZ6HK3T6SQP <GO><GO>,  Final NSN JJTZ5F3T6SQP <GO>",AACC US,AACC US Equity,Asset Acceptance Capital Corp,#N/A,4/25/2007,6/12/2007,4/24/07,6/5/07,6/13/07,20070123,20070424,47,,$18.25,$20.00,1.9,1.9,$33.9,$37.2,X,2.0,,#N/A,#N/A,#N/A,#N/A,,2.3,N/A,$18.75,#N/A,2.0,$37.2,86.5%,81.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,4.7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,251.0%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,250.95%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,250.95%,,#N/A,,,
176,"Commence NSN JHRQG13V2804 <GO>, Prelim NSN JJBHMD3V2801 <GO>, Final NSN JJKQYD3V2801 <GO>",NCI US,NCI US Equity,Navigant Consulting Inc,#N/A,4/27/2007,6/7/2007,4/26/07,5/31/07,6/8/07,20070125,20070426,40,,$19.50,$22.50,10.5,10.5,$204.8,$236.3,X,10.6,,#N/A,#N/A,#N/A,#N/A,,10.6,32.6,$20.50,#N/A,10.6,$217.8,100.0%,98.8%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,17.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,164.0%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,163.98%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,163.98%,,#N/A,,,
177,"Announce NSN JHTNAD3V2801 <GO>, Prelim  NSN JJGYM23V2808 <GO>, Final NSN JJNHKD3V2801 <GO>",ENTG US,ENTG US Equity,Entegris Inc,#N/A,5/10/2007,6/8/2007,5/9/07,6/1/07,6/11/07,20070207,20070509,28,,$11.00,$12.25,20.4,20.4,$224.4,$249.9,X,21.1,,#N/A,#N/A,#N/A,#N/A,,21.1,35.7,$11.80,#N/A,21.1,$249.1,100.0%,96.6%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,31.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,152.6%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,152.57%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,152.57%,,#N/A,,,
179,"Annonce NSN JITRNP3V2801 <GO>,  Prelim NSN JKAOFD3V2801 <GO> , Final  NSN JKJY9P3V2801 <GO>",BIIB US,BIIB US Equity,Biogen Idec Inc,#N/A,5/30/2007,6/26/2007,5/29/07,6/19/07,6/27/07,20070227,20070529,26,,$47.00,$53.00,57.0,57.0,"$2,679.0","$3,021.0",X,,,#N/A,#N/A,#N/A,#N/A,,56.4,56.4,$53.00,#N/A,56.4,"$2,990.5",100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,42.8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,75.2%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,75.17%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,75.17%,,#N/A,,,
181,"Announce  NSN JIWMOK3T6SQT <GO>, Prelim NSN JKEZAY3T6SQP <GO>, Final NSN JKPTQL3T6SQP <GO>",BRKS US,BRKS US Equity,Brooks Automation Inc,#N/A,5/31/2007,6/28/2007,5/30/07,6/21/07,6/29/07,20070228,20070530,28,,$16.50,$19.00,6.1,6.1,$100.0,$115.1,X,,,#N/A,#N/A,#N/A,#N/A,,7.4,N/A,$18.20,#N/A,6.1,$110.3,81.9%,81.9%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,7.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,118.5%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,118.51%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,118.51%,,#N/A,,,
182,"Announce NSN JJ9YEM3T6SQP <GO>, Commence NSN JMRLJ83T6SQQ <GO>, Prelim  NSN JOJ4HJ3PWT1E <GO>, Final NSN JOXXTM3PWT1D <GO>",ISSI US,ISSI US Equity,Integrated Silicon Solution Inc,#N/A,8/14/2007,9/14/2007,8/13/07,9/7/07,9/17/07,20070514,20070813,30,,$5.70,$6.30,4.8,5.3,$30.0,$30.0,,,,#N/A,#N/A,#N/A,#N/A,,1.2,1.2,$6.30,#N/A,1.2,$7.4,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,-0.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-8.7%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,-8.68%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,-8.68%,,#N/A,,,
184,"Announce NSN JIT0463V2805 <GO>,Commence  NSN JJBEM13V2806 <GO>, Prelim  NSN JL0H833V7U9Y <GO>, Final  NSN JL9QK43V2801 <GO>",MGAM US,MGAM US Equity,Multimedia Games Inc,#N/A,5/29/2007,7/10/2007,5/25/07,7/2/07,7/11/07,20070223,20070525,41,,$12.25,$13.50,1.9,2.0,$25.0,$25.0,,,,#N/A,#N/A,#N/A,#N/A,,2.3,N/A,$12.55,#N/A,2.0,$25.0,86.2%,86.2%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,-1.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-77.0%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,-77.04%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,-77.04%,,#N/A,,,
185,"Announce NSN JJL2463T6SQP <GO>, Commence NSN JNJ7NU3T6SQP <GO>,Prelim NSN JP90RD3T6SQP <GO>, Final NSN JPEHBF3T6SQP <GO>",DITC US ,DITC US  Equity,Ditech Networks Inc,#N/A,8/28/2007,9/28/2007,8/27/07,9/21/07,10/1/07,20070528,20070827,30,,$4.90,$5.50,9.1,9.1,$44.6,$50.1,X,,,#N/A,#N/A,#N/A,#N/A,,7.4,7.4,$5.50,#N/A,7.4,$40.8,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,-2.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-21.7%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,-21.75%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,-21.75%,,#N/A,,,
186,"Announce NSN JKDW0A3T6SQS <GO>, Commence NSN JKYMKT3T6SQP <GO>, Prelim NSN JMGEP83T6SQQ <GO>, Final NSN JMPUY83T6SQP <GO>",D US,D US Equity,Dominion Resources Inc/VA,#N/A,6/29/2007,8/7/2007,6/28/07,7/31/07,8/8/07,20070329,20070628,38,,$82.00,$92.00,55.0,55.0,"$4,510.0","$5,060.0",X,57.8,,#N/A,#N/A,#N/A,#N/A,,57.8,N/A,$91.00,#N/A,57.8,"$5,255.4",100.0%,95.2%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,44.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,80.2%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,80.21%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,80.21%,,#N/A,,,
187,"Announce NSN JKYECP3T6SQP <GO>, Prelim  NSN JNUG2J3TCF0M <GO>, Final  NSN JO5NQK3PWT1I <GO>",HD US,HD US Equity,Home Depot Inc,#N/A,7/10/2007,8/31/2007,7/9/07,8/24/07,9/4/07,20070409,20070709,51,,$37.00,$42.00,250.0,250.0,"$9,250.0","$10,500.0",X,289.3,,#N/A,#N/A,#N/A,#N/A,,289.3,N/A,$37.00,#N/A,289.3,"$10,705.3",100.0%,86.4%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,572.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,228.9%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,228.95%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,228.95%,,#N/A,,,
188,"Announce NSN JLFH9J3TCF0H <GO>, Prelim  NSN JMWX453T6SQR <GO>, Final  NSN JN81473T6SQP <GO>",FFKT US,FFKT US Equity,Farmers Capital Bank Corp,#N/A,7/19/2007,8/16/2007,7/18/07,8/9/07,8/17/07,20070418,20070718,27,,$31.00,$35.00,0.6,0.6,$17.1,$19.3,X,,,#N/A,#N/A,#N/A,#N/A,,0.6,1.0,$32.00,#N/A,0.6,$17.6,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,-0.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-24.3%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,-24.32%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,-24.32%,,#N/A,,,
189,"Announce  NSN JM4DND3TCF0H <GO>, Commence NSN JM7T7G3TCF0H <GO>, Final  NSN JO69NR3T6SQP <GO>",BANF US,BANF US Equity,Bancfirst Corp,#N/A,8/2/2007,9/4/2007,8/1/07,8/27/07,9/5/07,20070502,20070801,32,,$39.50,$45.00,0.5,0.5,$19.8,$22.5,X,0.5,,#N/A,#N/A,#N/A,#N/A,,0.5,0.5,$45.00,#N/A,0.5,$24.3,100.0%,92.7%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,0.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,71.1%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,71.10%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,71.10%,,#N/A,,,
193,"Announce  NSN JMEHX13V2802 <GO>, Ammend  NSN JNY5E53V2809 <GO>, Prelim  NSN JOB4AD3V7U9T <GO>,  Final NSN JOM83P3V2801 <GO>",HEW US,HEW US Equity,Hewitt Associates Inc,#N/A,8/7/2007,9/12/2007,8/6/07,9/5/07,9/13/07,20070507,20070806,35,,$28.75,$32.00,15.6,15.6,$449.2,$500.0,X,,,#N/A,#N/A,#N/A,#N/A,,0.0,0.0,$32.00,#N/A,0.0,$0.2,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,7.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,45.0%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,45.02%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,45.02%,,#N/A,,,
196,"Announce NSN JN55N907SXKX <GO>, Prelim NSN JOO1LZ3T6SQP <GO>, Final  NSN JOZ6Q73TCF0I <GO>",AGYS US,AGYS US Equity,Agilysys Inc,#N/A,8/21/2007,9/19/2007,8/20/07,9/12/07,9/20/07,20070521,20070820,28,,$16.25,$18.50,6.0,6.0,$97.5,$111.0,X,,,#N/A,#N/A,#N/A,#N/A,,4.7,4.7,$18.50,#N/A,4.7,$86.1,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,0.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.0%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,3.97%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,3.97%,,#N/A,,,
197,"Announce  NSN JRTX5D3V2801 <GO>, Prelim  NSN JTCNH13V2802 <GO>, Final  NSN JTPMSD3V2801 <GO>",IKN US,IKN US Equity,IKON Office Solutions Inc,#N/A,11/21/2007,12/19/2007,11/20/07,12/12/07,12/20/07,20070821,20071120,28,,$13.00,$15.00,19.7,22.7,$295.0,$295.0,,,,#N/A,#N/A,#N/A,#N/A,,25.0,N/A,$13.00,#N/A,22.7,$295.0,90.9%,90.9%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,21.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,99.2%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,99.17%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,99.17%,,#N/A,,,
,,COHR US,COHR US Equity,"Coherent, Inc",#N/A,2/13/2008,3/17/2008,2/12/08,3/10/08,3/18/08,20071113,20080212,34,,$26.00,$29.50,7.6,7.6,$198.3,$225.0,X,8.0,,#N/A,#N/A,#N/A,#N/A,,8.0,N/A,$28.50,#N/A,8.0,$295.0,100.0%,95.7%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,-3.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-39.5%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,-39.49%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,-39.49%,,#N/A,,,
202,"Announce/commence  NSN JW3L4Z3T6SQP <GO>, prelim  NSN JXMAQ43T6SQP <GO>, Final  NSN JXZ9EC3T6SQP <GO>",DTPI US,DTPI US Equity,Diamond Management & Technology Consultants Inc,#N/A,2/12/2008,3/11/2008,2/11/08,3/4/08,3/12/08,20071112,20080211,29,,$5.25,$6.00,5.0,5.0,$26.3,$30.0,X,,,#N/A,#N/A,#N/A,#N/A,,2.6,2.6,$6.00,#N/A,2.6,$15.9,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,1.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20.7%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,20.71%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,20.71%,,#N/A,,,
203,"Announce NSN JWHK2G3T6SQQ <GO>, Ammend NSN JXQN0P3T6SQP <GO>, Prelim  NSN JXZM9K3T6SQP <GO>, Final NSN JYB23U3T6SQP <GO>",SHOO US,SHOO US Equity,Steven Madden Ltd,#N/A,2/19/2008,3/18/2008,2/15/08,3/11/08,3/19/08,20071116,20080215,29,,$16.50,$20.00,2.6,2.6,$42.9,$52.0,X,,,#N/A,#N/A,#N/A,#N/A,,3.2,N/A,$17.00,#N/A,2.6,$44.2,80.6%,80.6%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,4.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,154.9%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,154.87%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,154.87%,,#N/A,,,
204,"Announce NSN JWJI733T6SQP <GO>, Prelim  NSN JYR2TE3T6SQQ <GO>, Final NSN JZ22I83T6SQP <GO",CHIC US,CHIC US Equity,Charlotte Russe Holding Inc,#N/A,2/20/2008,4/2/2008,2/19/08,3/26/08,4/3/08,20071120,20080219,42,,$18.00,$20.00,4.0,4.0,$72.0,$80.0,X,4.1,,#N/A,#N/A,#N/A,#N/A,,9.1,N/A,$18.00,#N/A,4.1,$73.4,45.0%,44.1%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,5.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,129.0%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,128.98%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,128.98%,,#N/A,,,
206,"Announce NSN K0IKWU3T6SQP <GO>, Commencement  NSN K0URS63T6SQP <GO>, Prelim  NSN K2K2QR3TCF0H <GO>, Final NSN K2Q7KJ3T6SQP <GO>",NHWK US,NHWK US Equity,Nighthawk Radiology Holdings Inc,#N/A,5/8/2008,6/13/2008,5/7/08,6/6/08,6/16/08,20080206,20080507,35,,$7.45,$8.05,6.2,6.7,$50.0,$50.0,,,,#N/A,#N/A,#N/A,#N/A,,2.2,2.2,$8.05,#N/A,2.2,$18.0,100.0%,100.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,-1.6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-24.5%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,-24.48%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,-24.48%,,#N/A,,,
207,"Announce/commence  NSN K1TI0I3T6SQP <GO>, Prelim NSN K3A1IQ3T6SQP <GO>, Final  NSN K3OUUC3T6SQP <GO> NO AMMENDMENT??",SHO US,SHO US Equity,Sunstone Hotel Investors Inc,#N/A,6/2/2008,6/27/2008,5/30/08,6/20/08,6/30/08,20080229,20080530,25,,$16.75,$19.25,6.2,6.2,$103.9,$119.4,,7.4,,#N/A,#N/A,#N/A,#N/A,,7.9,N/A,$17.50,#N/A,7.4,$129.0,93.8%,78.9%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,6.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,98.9%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,98.91%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,98.91%,,#N/A,,,
208,"Announce  NSN K28YWP3V2801 <GO>, Commence  NSN K2LW053V7U9W <GO>, Prelim NSN K45JAD3V2801 <GO>, Final  NSN K4GWBD3V2803 <GO>",URI US,URI US Equity,United Rentals Inc,#N/A,6/10/2008,7/16/2008,6/9/08,7/9/08,7/17/08,20080310,20080609,36,,$22.00,$25.00,27.2,27.2,$597.5,$679.0,X,,,#N/A,#N/A,#N/A,#N/A,,72.0,N/A,$22.00,#N/A,27.2,$597.5,37.7%,37.7%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,49.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,180.2%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,180.25%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,180.25%,,#N/A,,,
210,"Commence NSN K4RIJD3V2802 <GO>, Prelim NSN K6B2JD3V2805 <GO>, Final  NSN K6PVVD3V2801 <GO>}",FC US,FC US Equity,Franklin Covey Co,#N/A,7/8/2008,8/27/2008,7/7/08,8/20/08,8/28/08,20080407,20080707,49,,$9.00,$10.50,2.7,3.1,$28.0,$28.0,,,,#N/A,#N/A,#N/A,#N/A,,3.1,N/A,$9.25,#N/A,3.0,$28.0,97.5%,97.5%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,1.1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,39.4%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,39.37%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,39.37%,,#N/A,,,
211,"Announce  NSN K5F5X13T6SQQ <GO>, Prelim NSN K77Y5S3T6SQP <GO>, Final  NSN K7FDQM3T6SQP <GO>",EXTR US,EXTR US Equity,Extreme Networks,#N/A,8/11/2008,9/12/2008,8/8/08,9/5/08,9/15/08,20080509,20080808,31,,$3.30,$3.70,27.0,30.3,$100.0,$100.0,,,,#N/A,#N/A,#N/A,#N/A,,44.9,44.9,$3.50,#N/A,28.6,$100.0,63.7%,63.7%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,9.5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,33.2%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,33.18%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,33.18%,,#N/A,,,
213,"Announce  NSN K8FRK33V7U9U <GO>, Commence/Ammendment NSN K9XJO83V2804 <GO>, Final  NSN KBZ1I13V2809 <GO>",QSFT US,QSFT US Equity,Quest Software Inc,#N/A,10/9/2008,12/9/2008,10/8/08,12/2/08,12/10/08,20080709,20081008,60,,$12.50,$14.50,9.7,9.7,$120.7,$140.0,X,11.4,,#N/A,#N/A,#N/A,#N/A,,15.6,N/A,$12.50,#N/A,11.4,$143.1,73.2%,61.7%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,7.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,76.4%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,76.42%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,76.42%,,#N/A,,,
216,"Announce NSN K9RAO33V2804 <GO>, Commencement  NSN K9VS213V2800 <GO>,  Ammend NSN KAUWI03V2800 <GO>, 2nd Ammend NSN KBDEIO3V2800 <GO>, Prelim  NSN KC51R03V2800 <GO>, Final NSN KCN0003V2806 <GO>",BIRT US,BIRT US Equity,Actuate Corp,#N/A,11/3/2008,12/18/2008,10/31/08,12/11/08,12/19/08,20080801,20081031,45,,$3.00,$3.50,17.1,20.0,$60.0,$60.0,,,,#N/A,#N/A,#N/A,#N/A,,20.7,N/A,$3.50,#N/A,17.1,$60.0,83.0%,83.0%,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,,,,#N/A,#N/A,#N/A,#N/A,7.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,38.7%,#NAME?,#N/A,#N/A,,#N/A,#N/A,#N/A,38.72%,#N/A,#N/A,,#N/A,,#N/A,#N/A,#N/A,#N/A,38.72%,,#N/A,,,
