Ticker,Announced,Expiration,Min Price ($),Max Price,Min Shares,Max Shares ,Min Value ($),Max Value ($),Shares Tendered at Acceptance Price,Total Shares Tendered (not usually given,Price Paid,Shares Purchased
DPZ US,2/7/2007,3/9/2007,27.50,30.00,13.9,13.9,380.9,415.5,0.0,0.0,30.00,0.0
CE US,3/5/2007,4/3/2007,28.00,30.50,11.3,12.3,344.0,344.0,2.0,2.0,30.50,2.0
SONE US,3/12/2007,4/19/2007,5.25,5.75,9.6,10.5,55.0,55.0,0.0,0.0,5.75,0.0
AACC US,4/25/2007,6/12/2007,18.25,20.00,1.9,1.9,33.9,37.2,2.3,N/A,18.75,2.0
NCI US,4/27/2007,6/7/2007,19.50,22.50,10.5,10.5,204.8,236.3,10.6,32.6,20.50,10.6
ENTG US,5/10/2007,6/8/2007,11.00,12.25,20.4,20.4,224.4,249.9,21.1,35.7,11.80,21.1
BIIB US,5/30/2007,6/26/2007,47.00,53.00,57.0,57.0,"2,679.0","3,021.0",56.4,56.4,53.00,56.4
BRKS US,5/31/2007,6/28/2007,16.50,19.00,6.1,6.1,100.0,115.1,7.4,N/A,18.20,6.1
ISSI US,8/14/2007,9/14/2007,5.70,6.30,4.8,5.3,30.0,30.0,1.2,1.2,6.30,1.2
MGAM US,5/29/2007,7/10/2007,12.25,13.50,1.9,2.0,25.0,25.0,2.3,N/A,12.55,2.0
DITC US ,8/28/2007,9/28/2007,4.90,5.50,9.1,9.1,44.6,50.1,7.4,7.4,5.50,7.4
D US,6/29/2007,8/7/2007,82.00,92.00,55.0,55.0,"4,510.0","5,060.0",57.8,N/A,91.00,57.8
HD US,7/10/2007,8/31/2007,37.00,42.00,250.0,250.0,"9,250.0","10,500.0",289.3,N/A,37.00,289.3
FFKT US,7/19/2007,8/16/2007,31.00,35.00,0.6,0.6,17.1,19.3,0.6,1.0,32.00,0.6
BANF US,8/2/2007,9/4/2007,39.50,45.00,0.5,0.5,19.8,22.5,0.5,0.5,45.00,0.5
HEW US,8/7/2007,9/12/2007,28.75,32.00,15.6,15.6,449.2,500.0,0.0,0.0,32.00,0.0
AGYS US,8/21/2007,9/19/2007,16.25,18.50,6.0,6.0,97.5,111.0,4.7,4.7,18.50,4.7
IKN US,11/21/2007,12/19/2007,13.00,15.00,19.7,22.7,295.0,295.0,25.0,N/A,13.00,22.7
COHR US,2/13/2008,3/17/2008,26.00,29.50,7.6,7.6,198.3,225.0,8.0,N/A,28.50,8.0
DTPI US,2/12/2008,3/11/2008,5.25,6.00,5.0,5.0,26.3,30.0,2.6,2.6,6.00,2.6
SHOO US,2/19/2008,3/18/2008,16.50,20.00,2.6,2.6,42.9,52.0,3.2,N/A,17.00,2.6
